,0
1710,35275102
1711,31973101
1712,18002101
1713,17068101
1714,15153102
1715,12676101
1716,35396102
1717,15120101
1718,32206101
1719,35917101
1720,11087102
1721,36335101
1722,13138101
1723,33802101
1724,31076101
1725,35806101
1726,34983101
1727,33131102
1728,32460102
1729,15106101
1730,18564101
1731,12732102
1732,14196102
1733,30074101
1734,32260102
1735,15947102
1736,39389102
1737,35324102
1738,11001101
1739,35937101
1740,13577101
1741,37559103
1742,13921104
1743,35266101
1744,13907102
1745,34251102
1746,13638101
1747,33668101
1748,36138101
1749,11406101
1750,10145101
1751,31176102
1752,12657101
1753,11042102
1754,14510101
1755,17544102
1756,18300102
1757,16554102
1758,12523101
1759,37151102
1760,39210101
1761,15024101
1762,13815102
1763,13182101
1764,32024101
1765,18375101
1766,34076102
1767,13209101
1768,17844102
1769,16848101
1770,15492101
1771,11221101
1772,10637101
1773,31678101
1774,38910102
1775,12374101
1776,13050101
1777,11653102
1778,37902102
1779,14865101
1780,37028102
1781,13694101
1782,32419101
1783,18515101
1784,38500101
1785,15568101
1786,34893101
1787,13204101
1788,15848102
1789,12809102
1790,30114101
1791,33993101
1792,32903101
1793,38948105
1794,11820101
1795,17619103
1796,35988101
1797,33867101
1798,16705201
1799,17915103
1800,36622102
1801,16104201
1802,13495101
1803,30241102
1804,38634101
1805,15486101
1806,32291101
1807,34675101
1808,17038101
1809,17234101
1810,39704101
1811,31685101
1812,10692101
1813,30445101
1814,37426101
1815,39575102
1816,35692101
1817,32650101
1818,13785102
1819,30792102
1820,37534101
1821,39186102
1822,10528101
1823,14577101
1824,31160101
1825,30322101
1826,13179103
1827,10464102
1828,15979101
1829,36318102
1830,36179201
1831,39393201
1832,35902101
1833,15859102
1834,38167102
1835,33147102
1836,16288101
1837,15524101
1838,31434101
1839,35157102
1840,34664104
1841,15856106
1842,10862101
1843,11936102
1844,10979101
1845,17068102
1846,34664105
1847,38768102
1848,12656102
1849,13614101
1850,18530101
1851,35190101
1852,16592102
1853,34960103
